id,name,address,city,state,zipcode,phone_number,email,createdAt,updatedAt,,,
11,Kakalina Gheraldi,93 Westridge Junction,Randfontein,Nevada,44707,671-452-2305,kgheraldia@unesco.org,2021-04-15 05:00:35,2021-04-15 05:00:35,,,"INSERT INTO customers VALUES('11' ,'Kakalina Gheraldi','93 Westridge Junction','Randfontein','Nevada','44707','671-452-2305','kgheraldia@unesco.org','2021-04-15 05:00:35','2021-04-15 05:00:35')"
12,Casie Skippen,36 Butternut Court,Madrid,Florida,23233,414-145-1824,cskippenb@samsung.com,2021-04-15 05:00:36,2021-04-15 05:00:36,,,"INSERT INTO customers VALUES('12' ,'Casie Skippen','36 Butternut Court','Madrid','Florida','23233','414-145-1824','cskippenb@samsung.com','2021-04-15 05:00:36','2021-04-15 05:00:36')"
13,Nils Pendry,51 Graceland Pass,Gadsden,Utah,35643,193-646-0215,npendryc@google.es,2021-04-15 05:00:37,2021-04-15 05:00:37,,,"INSERT INTO customers VALUES('13' ,'Nils Pendry','51 Graceland Pass','Gadsden','Utah','35643','193-646-0215','npendryc@google.es','2021-04-15 05:00:37','2021-04-15 05:00:37')"
14,Emanuele Negal,1 Green Drive,El Paisnal,Aveiro,89844,832-411-8637,enegald@guardian.co.uk,2021-04-15 05:00:38,2021-04-15 05:00:38,,,"INSERT INTO customers VALUES('14' ,'Emanuele Negal','1 Green Drive','El Paisnal','Aveiro','89844','832-411-8637','enegald@guardian.co.uk','2021-04-15 05:00:38','2021-04-15 05:00:38')"
15,Ralina Kenward,8 Transport Center,Jeding,Texas,92305,745-577-7445,rkenwarde@timesonline.co.uk,2021-04-15 05:00:39,2021-04-15 05:00:39,,,"INSERT INTO customers VALUES('15' ,'Ralina Kenward','8 Transport Center','Jeding','Texas','92305','745-577-7445','rkenwarde@timesonline.co.uk','2021-04-15 05:00:39','2021-04-15 05:00:39')"
16,Constantin Occleshaw,698 Colorado Road,Akron,Maine,34354,330-484-1307,coccleshawf@spotify.com,2021-04-15 05:00:40,2021-04-15 05:00:40,,,"INSERT INTO customers VALUES('16' ,'Constantin Occleshaw','698 Colorado Road','Akron','Maine','34354','330-484-1307','coccleshawf@spotify.com','2021-04-15 05:00:40','2021-04-15 05:00:40')"
17,Juliann Bowdler,515 Jay Junction,Sidowayah Lor,Iowa,39483,753-906-1697,jbowdlerg@oracle.com,2021-04-15 05:00:41,2021-04-15 05:00:41,,,"INSERT INTO customers VALUES('17' ,'Juliann Bowdler','515 Jay Junction','Sidowayah Lor','Iowa','39483','753-906-1697','jbowdlerg@oracle.com','2021-04-15 05:00:41','2021-04-15 05:00:41')"
18,Vernen Sodory,8192 Clyde Gallagher Crossing,Antipolo,Idaho,98854,610-377-4251,vsodoryh@drupal.org,2021-04-15 05:00:42,2021-04-15 05:00:42,,,"INSERT INTO customers VALUES('18' ,'Vernen Sodory','8192 Clyde Gallagher Crossing','Antipolo','Idaho','98854','610-377-4251','vsodoryh@drupal.org','2021-04-15 05:00:42','2021-04-15 05:00:42')"
19,Cordy Welsh,7 Debs Parkway,Pelham,Hawaii,23735,138-508-8269,cwelshi@pagesperso-orange.fr,2021-04-15 05:00:43,2021-04-15 05:00:43,,,"INSERT INTO customers VALUES('19' ,'Cordy Welsh','7 Debs Parkway','Pelham','Hawaii','23735','138-508-8269','cwelshi@pagesperso-orange.fr','2021-04-15 05:00:43','2021-04-15 05:00:43')"
20,Ross Fricker,11894 Spenser Alley,Rengo,Missouri,11940,313-217-2529,rfrickerj@usa.gov,2021-04-15 05:00:44,2021-04-15 05:00:44,,,"INSERT INTO customers VALUES('20' ,'Ross Fricker','11894 Spenser Alley','Rengo','Missouri','11940','313-217-2529','rfrickerj@usa.gov','2021-04-15 05:00:44','2021-04-15 05:00:44')"
